player
Aaron Wan-Bissaka
Joel Ward
James Ward-Prowse
Ollie Watkins
Caleb Watts
Adam Webster
Danny Welbeck
Timo Werner
Ashley Westwood
Ben White
Georginio Wijnaldum
Brandon Williams
Neco Williams
Rhys Williams
Willian
Joe Willock
Joe Willock
Callum Wilson
Harry Winks
Chris Wood
Granit Xhaka
Andriy Yarmolenko
DeAndre Yedlin
Okay Yokuşlu
Wilfried Zaha
Andre-Frank Zambo Anguissa
Andi Zeqiri
Oleksandr Zinchenko
Hakim Ziyech
Kurt Zouma
Martin Ødegaard
